Avg,BMI,BMI Rating,HR,Handedness,Height,Name,Ratio,Weight
0.236,25.6204444444,Overweight,73,Right,75,Andy Kosco,3.09322033898,205
0.253,23.7316743827,Healthy,116,Left,72,John Lowenstein,4.58498023715,175
0.299,24.3918918919,Healthy,63,Left,74,Bake McBride,2.10702341137,190
0.24,25.7243385251,Overweight,80,Left,73,Ed Herrmann,3.33333333333,195
0.242,24.8009007318,Healthy,53,Left,73,Mike Hegan,2.19008264463,188
0.225,26.4952888889,Overweight,77,Right,75,Tim Laudner,3.42222222222,212
0.28,24.3918918919,Healthy,68,Right,74,Steve Henderson,2.42857142857,190
0.253,25.6756756757,Overweight,160,Right,74,Bill Melton,6.32411067194,200
0.249,25.0877700617,Overweight,131,Left,72,John Milner,5.26104417671,185
0.253,23.1208888889,Healthy,52,Left,75,Rich Reese,2.05533596838,185
0.289,25.0877700617,Overweight,174,Left,72,Bill Buckner,6.02076124567,185
0.268,25.6756756757,Overweight,271,Right,74,George Scott,10.1119402985,200
0.225,26.9594594595,Overweight,268,Right,74,Gorman Thomas,11.9111111111,210
0.247,26.1726466049,Overweight,188,Left,72,Darrell Porter,7.61133603239,193
0.25,25.0337837838,Overweight,146,Left,74,Jim Spencer,5.84,195
0.26,23.6724489796,Healthy,77,Left,70,Jim Dwyer,2.96153846154,165
0.258,24.3706666667,Healthy,66,Right,75,Mike Andrews,2.55813953488,195
0.258,26.1677631579,Overweight,196,Right,76,Cliff Johnson,7.59689922481,215
0.274,25.4375,Overweight,159,Right,76,Donn Clendenon,5.80291970803,209
0.277,25.7243385251,Overweight,218,Right,73,Bob Horner,7.87003610108,195
0.285,21.8711111111,Healthy,117,Right,75,Garry Maddox,4.10526315789,175
0.294,27.546122449,Overweight,272,Right,70,Steve Garvey,9.25170068027,192
0.249,25.6204444444,Overweight,200,Left,75,Don Mincher,8.03212851406,205
0.269,25.6204444444,Overweight,81,Right,75,Mike Ivie,3.01115241636,205
0.278,23.4932432432,Healthy,242,Right,74,Dusty Baker,8.70503597122,183
0.224,23.7457777778,Healthy,82,Left,75,Roger Repoz,3.66071428571,190
0.253,25.0647401013,Overweight,139,Left,73,Johnny Briggs,5.49407114625,190
0.296,24.4097222222,Healthy,162,Left,72,Keith Hernandez,5.47297297297,180
0.262,25.0877700617,Overweight,123,Left,72,Willie Upshaw,4.69465648855,185
0.24,25.8244897959,Overweight,80,Right,70,Dick Green,3.33333333333,180
0.276,25.7243385251,Overweight,203,Left,73,Richie Hebner,7.35507246377,195
0.279,23.7455432539,Healthy,201,Right,73,Buddy Bell,7.20430107527,180
0.245,23.3684210526,Healthy,127,Right,76,Jody Davis,5.18367346939,192
0.244,25.6756756757,Overweight,245,Right,74,Deron Johnson,10.0409836066,200
0.242,23.2420408163,Healthy,77,Right,70,Don Wert,3.18181818182,162
0.276,29.0223306436,Overweight,307,Right,73,Greg Luzinski,11.1231884058,220
0.265,23.7075976989,Healthy,86,Left,71,Bobby Tolan,3.24528301887,170
0.268,26.2453333333,Overweight,76,Right,75,Tony Horton,2.83582089552,210
0.236,23.7075976989,Healthy,82,Right,71,Randy Hundley,3.47457627119,170
0.273,20.5405405405,Healthy,235,Left,74,Ben Oglivie,8.60805860806,160
0.264,25.0568055246,Overweight,93,Both,67,Don Buford,3.52272727273,160
0.26,25.6204444444,Overweight,113,Left,75,Greg Walker,4.34615384615,205
0.272,23.7457777778,Healthy,56,Right,75,Barry Bonnell,2.05882352941,190
0.251,25.7243385251,Overweight,85,Right,73,Jerry Martin,3.38645418327,195
0.265,24.4097222222,Healthy,80,Right,72,Joel Youngblood,3.01886792453,180
0.262,26.4438657407,Overweight,563,Left,72,Reggie Jackson,21.4885496183,195
0.266,26.3175675676,Overweight,72,Left,74,Mitchell Page,2.70676691729,205
0.234,25.0647401013,Overweight,59,Both,73,Bill Sudakis,2.52136752137,190
0.271,25.0568055246,Overweight,268,Left,67,Joe Morgan,9.88929889299,160
0.255,25.0337837838,Overweight,106,Left,74,Lee Thomas,4.1568627451,195
0.256,27.6013513514,Overweight,61,Right,74,Ray Fosse,2.3828125,215
0.239,22.4263464065,Healthy,69,Right,73,Charley Smith,2.8870292887,170
0.271,25.8244897959,Overweight,52,Left,70,Steve Braun,1.91881918819,180
0.271,24.4051416776,Healthy,84,Right,73,Ray Knight,3.09963099631,185
0.266,23.1081081081,Healthy,224,Right,74,Bobby Grich,8.42105263158,180
0.254,23.7316743827,Healthy,121,Left,72,Jimmie Hall,4.76377952756,175
0.237,25.0337837838,Overweight,112,Left,74,Curt Blefary,4.72573839662,195
0.252,23.7455432539,Healthy,133,Left,73,Mack Jones,5.27777777778,180
0.226,23.7075976989,Healthy,52,Right,71,Buddy Bradford,2.30088495575,170
0.276,25.0337837838,Overweight,130,Right,74,Gary Ward,4.71014492754,195
0.253,25.1021622694,Overweight,86,Left,71,Dan Meyer,3.39920948617,180
0.274,23.7457777778,Healthy,107,Right,75,Larry Herndon,3.90510948905,190
0.279,25.7658179012,Overweight,121,Right,72,Keith Moreland,4.33691756272,190
0.288,27.7999614198,Overweight,78,Right,72,Alex Johnson,2.70833333333,205
0.244,23.0103154136,Healthy,57,Right,71,Paul Schaal,2.33606557377,165
0.245,23.7455432539,Healthy,153,Both,73,Tom Tresh,6.24489795918,180
0.273,25.7658179012,Overweight,215,Right,72,Chet Lemon,7.87545787546,190
0.281,25.0877700617,Overweight,93,Right,72,Cleon Jones,3.30960854093,185
0.247,24.4097222222,Healthy,90,Left,72,Mike Lum,3.64372469636,180
0.278,21.8711111111,Healthy,99,Left,75,Johnny Grubb,3.56115107914,175
0.267,25.9881778945,Overweight,389,Right,73,Johnny Bench,14.5692883895,197
0.255,27.1940091252,Overweight,130,Right,71,Tommie Agee,5.09803921569,195
0.257,23.7455432539,Healthy,189,Right,73,Bob Bailey,7.35408560311,180
0.285,26.9150962111,Overweight,248,Both,71,Ted Simmons,8.70175438596,193
0.277,22.3130331283,Healthy,252,Left,71,Bobby Murcer,9.09747292419,160
0.305,25.1021622694,Overweight,163,Right,71,Bill Madlock,5.34426229508,180
0.254,25.0337837838,Overweight,105,Right,74,Bob Boone,4.13385826772,195
0.278,26.4438657407,Overweight,130,Left,72,Steve Kemp,4.67625899281,195
0.273,23.6724489796,Healthy,50,Right,70,Rick Burleson,1.8315018315,165
0.29,26.4438657407,Overweight,80,Left,72,Mike Hargrove,2.75862068966,195
0.267,24.3706666667,Healthy,354,Right,75,Lee May,13.2584269663,195
0.264,24.4051416776,Healthy,76,Left,73,Pat Kelly,2.87878787879,185
0.239,27.5712141115,Overweight,123,Left,73,Ken Phelps,5.14644351464,209
0.285,22.4662162162,Healthy,199,Right,74,Cesar Cedeno,6.98245614035,175
0.259,24.3918918919,Healthy,237,Right,74,Doug DeCinces,9.15057915058,190
0.251,26.6853061224,Overweight,96,Left,70,Dave May,3.82470119522,186
0.271,27.4951111111,Overweight,110,Left,75,Willie Aikens,4.05904059041,220
0.247,26.8702222222,Overweight,138,Right,75,Earl Williams,5.58704453441,215
0.257,24.36357908,Healthy,146,Right,69,Tommy Harper,5.68093385214,165
0.247,25.7994445547,Overweight,111,Right,71,Max Alvis,4.49392712551,185
0.299,24.9955555556,Healthy,204,Right,75,Rico Carty,6.82274247492,200
0.261,25.0647401013,Overweight,80,Left,73,Roy Howell,3.06513409962,190
0.266,27.9934210526,Overweight,339,Left,76,Boog Powell,12.7443609023,230
0.251,24.3918918919,Healthy,83,Right,74,Bobby Darwin,3.30677290837,190
0.267,26.0783574688,Overweight,153,Left,71,Dan Driessen,5.73033707865,187
0.252,25.3810751835,Overweight,251,Right,71,Tony Armas,9.96031746032,182
0.273,29.1463995239,Overweight,325,Right,71,Willie Horton,11.9047619048,209
0.291,24.680941358,Healthy,102,Right,72,Lou Piniella,3.50515463918,182
0.248,25.4604991556,Overweight,98,Right,73,Butch Hobson,3.95161290323,193
0.23,25.6204444444,Overweight,57,Right,75,Barry Foote,2.47826086957,205
0.23,25.0337837838,Overweight,55,Right,74,Gary Alexander,2.39130434783,195
0.254,24.9955555556,Healthy,253,Right,75,Andre Thornton,9.96062992126,200
0.256,25.6204444444,Overweight,94,Right,75,Bob Oliver,3.671875,205
0.242,25.7243385251,Overweight,115,Right,73,Bob Robertson,4.7520661157,195
0.265,22.8513513514,Healthy,102,Right,74,Ollie Brown,3.84905660377,178
0.258,23.75,Healthy,219,Left,74,Joe Pepitone,8.48837209302,185
0.25,24.3897959184,Healthy,147,Left,70,Ruppert Jones,5.88,170
0.23,26.2453333333,Overweight,81,Right,75,John Bateman,3.52173913043,210
0.251,26.7027027027,Overweight,155,Right,74,Doug Rader,6.17529880478,208
0.248,24.4051416776,Healthy,117,Right,73,Mickey Stanley,4.71774193548,185
